SRA ID,STUDY_ASCENSION,LINEAGE,COUNTRY,HOST,PUBLICATION,PubMed ID
SRR1791710,PRJNA251692,M. bovis (Afr2CC),Tanzania,Baboon,Phylogenetic analysis of Mycobacterium bovis reveals animal and zoonotic tuberculosis spread between Morocco and European countries,39965004
SRR5486080,PRJNA384782,M. bovis,Eritrea,Bos taurus,"Recovery of Mycobacterium tuberculosis Complex Isolates Including Pre–Extensively Drug-Resistant Strains From Cattle at a Slaughterhouse in Chennai, India",39822270
SRR5486086,PRJNA384782,M. bovis,Eritrea,Bos taurus,"Recovery of Mycobacterium tuberculosis Complex Isolates Including Pre–Extensively Drug-Resistant Strains From Cattle at a Slaughterhouse in Chennai, India",39822270
SRR8064853,PRJNA497102,M. bovis,Zambia,Bos taurus,"Recovery of Mycobacterium tuberculosis Complex Isolates Including Pre–Extensively Drug-Resistant Strains From Cattle at a Slaughterhouse in Chennai, India",39822270
SRR8064858,PRJNA497102,M. bovis,Zambia,Bos taurus,"Recovery of Mycobacterium tuberculosis Complex Isolates Including Pre–Extensively Drug-Resistant Strains From Cattle at a Slaughterhouse in Chennai, India",39822270
SRR8065071,PRJNA497101,M. bovis,Uganda,Bos taurus,"Recovery of Mycobacterium tuberculosis Complex Isolates Including Pre–Extensively Drug-Resistant Strains From Cattle at a Slaughterhouse in Chennai, India",39822270
SRR8065072,PRJNA497101,M. bovis,Uganda,Bos taurus,"Recovery of Mycobacterium tuberculosis Complex Isolates Including Pre–Extensively Drug-Resistant Strains From Cattle at a Slaughterhouse in Chennai, India",39822270
SRR31781534,PRJNA1200723,M. bovis,Morocco,Bos taurus,Phylogenetic analysis of Mycobacterium bovis reveals animal and zoonotic tuberculosis spread between Morocco and European countries,39965004
SRR31781544,PRJNA1200723,M. bovis,Morocco,Bos taurus,Phylogenetic analysis of Mycobacterium bovis reveals animal and zoonotic tuberculosis spread between Morocco and European countries,39965004
SRR31781522,PRJNA1200723,M. bovis,Morocco,Bos taurus,Phylogenetic analysis of Mycobacterium bovis reveals animal and zoonotic tuberculosis spread between Morocco and European countries,39965004
SRR31781516,PRJNA1200723,M. bovis,Morocco,Bos taurus,Phylogenetic analysis of Mycobacterium bovis reveals animal and zoonotic tuberculosis spread between Morocco and European countries,39965004
SRR31781513,PRJNA1200723,M. bovis,Morocco,Bos taurus,Phylogenetic analysis of Mycobacterium bovis reveals animal and zoonotic tuberculosis spread between Morocco and European countries,39965004
SRR31781565,PRJNA1200723,M. bovis,Morocco,Bos taurus,Phylogenetic analysis of Mycobacterium bovis reveals animal and zoonotic tuberculosis spread between Morocco and European countries,39965004
SRR31781563,PRJNA1200723,M. bovis,Morocco,Bos taurus,Phylogenetic analysis of Mycobacterium bovis reveals animal and zoonotic tuberculosis spread between Morocco and European countries,39965004
SRR31781562,PRJNA1200723,M. bovis,Morocco,Bos taurus,Phylogenetic analysis of Mycobacterium bovis reveals animal and zoonotic tuberculosis spread between Morocco and European countries,39965004
SRR31781561,PRJNA1200723,M. bovis,Morocco,Bos taurus,Phylogenetic analysis of Mycobacterium bovis reveals animal and zoonotic tuberculosis spread between Morocco and European countries,39965004
SRR31781560,PRJNA1200723,M. bovis,Morocco,Bos taurus,Phylogenetic analysis of Mycobacterium bovis reveals animal and zoonotic tuberculosis spread between Morocco and European countries,39965004
SRR31781559,PRJNA1200723,M. bovis,Morocco,Bos taurus,Phylogenetic analysis of Mycobacterium bovis reveals animal and zoonotic tuberculosis spread between Morocco and European countries,39965004
